"galaxy number" x y "aperture radius" "galaxy type" counts "counts error" background magnitude "magnitude error"
38 1768 729 18.0 E1 635732.2932276658 797.3282217679654 3419.1678674351583 10.791814317993135 0.008590999726877923
39 929 2491 14.849242404917497 E1 270839.18181818177 520.4221188786865 3427.6753246753246 11.71822126709705 0.009436678068698813
40 455 3233 16.970562748477143 E3 242040.22074074065 491.9758334926022 3427.0362962962963 11.840281149156889 0.009559117559605416
41 474 1075 22.0 E2 618150.2278015917 786.2253034605232 3431.9730557256585 10.82226491593222 0.00861720271545382
42 1715 3140 21.0 E1 204809.5477707004 452.55888873239513 3437.7006369426754 12.021624503426592 0.009748318269401784
43 248 4111 11.313708498984761 E0 185474.4794117647 430.6674812564384 3426.6754901960785 12.129289598048635 0.009865455427013229
44 1955 1455 12.020815280171309 E1 194951.11764705885 441.5326914816828 3426.292250233427 12.07518567668936 0.00980610397061111
45 905 2222 12.020815280171309 E1 204310.89235127473 452.0076242180819 3427.9027384324836 12.024271198421893 0.009751151913231698
46 1978 2762 13.435028842544403 E2 179268.58951965068 423.4012157748849 3425.8786026200873 12.166239496302383 0.009906586365545863
47 2198 2177 26.870057685088806 E2 490626.69989047124 700.4474997388963 3429.60295728368 11.07312205298421 0.00883620482542166
48 2054 3520 11.31370849898476 E1 157958.7624148004 397.44026269969225 3424.674780915287 12.303640693899393 0.010064165722721445
49 108 840 16.0 E1 245187.717948718 495.1643342858187 3425.5042735042734 11.826253221198629 0.009544859640622601
50 500 4319 11.313708498984761 E1 159758.76679841895 399.6983447531638 3422.7747035573125 12.2913382512696 0.010049740875869803
51 2221 3560 10.606601717798213 E1 149802.64917695484 387.0434719472153 3419.227366255144 12.361201265777634 0.010132542471449157
52 809 1322 11.313708498984761 E0 165219.12524654827 406.4715552736111 3426.7228796844183 12.254849203854395 0.01000733392385823
53 503 3750 11.5 E1 143025.77012609103 378.1874801286936 3427.584869059166 12.411464262714315 0.010193498217680457
54 401 3836 12.020815280171309 E1 134475.39359698675 366.70886762796823 3428.738229755179 12.478392939761616 0.010276590312915718
55 2180 3876 10.606601717798213 E1 114192.57055214731 337.92391237103556 3418.134969325153 12.655905376678254 0.010508843776871361
56 420 1196 11.313708498984761 E1 138473.89756097557 372.1208104379216 3426.3219512195124 12.446580209343626 0.01023681191146716
57 1212 510 12.727922061357855 E1 147854.90405904045 384.51905552136225 3433.5830258302585 12.375410665493305 0.010149653649670447
58 1006 1703 10.606601717798213 E1 123826.53645833324 351.8899493568028 3425.4739583333335 12.567965686301664 0.010391506280125602
59 1755 4306 10.0 E1 107650.33593750004 328.1011062728988 3421.1417410714284 12.7199615264086 0.010597386616781751
60 1374 134 1.4142135623730951 E0 3931.4999999999995 62.7016746187851 3416.8333333333335 16.313604299994296 0.03397722249962034
61 28 1366 13.435028842544403 E1 140338.75088967965 374.61814009692546 3422.491103202847 12.432055983265581 0.010218822589896166
62 910 4 24.0 E4 572290.3045387991 756.4987141686356 3425.790629575403 10.90595902908263 0.00868961987896428
63 1813 3195 12.0 E1 105335.364851958 324.5541015793176 3432.3686723973256 12.743564490328607 0.010630707569738457
64 1563 3422 11.5 E1 93159.55888223558 305.22050861997394 3439.450099800399 12.876931441376684 0.010826602075326758
65 132 3070 10.5 E1 108464.03970741897 329.3387916833044 3425.0261233019855 12.711785561111158 0.010585933447392898
66 2118 3151 28.0 E1 246398.70408163263 496.38564048694303 3435.5408163265306 11.82090395161477 0.009539435909047846
67 1819 2308 12.0 E1 93729.71369294602 306.1530886549179 3426.155601659751 12.870306773922216 0.010816549299391031
68 694 2276 15.556349186104045 E1 189646.84627575258 435.4846108368843 3430.28763866878 12.10513593745737 0.009838833573271392
69 1244 2560 14.849242404917497 E3 121213.97292576416 348.15797122249575 3433.0139737991267 12.591118285103025 0.010421946875313054
70 744 3323 18.5 E1 170078.75285714277 412.40605337111964 3436.747142857143 12.223374843441393 0.009971194932432814
71 1898 1606 9.0 E1 79915.6388888889 282.6935423544176 3422.1018518518517 13.04342056052153 0.01109154548904722
72 1032 2597 19.09188309203678 E2 233043.12499999994 482.7454039139057 3433.4305555555557 11.881409261635444 0.009601216400100244
73 796 2996 10.606601717798213 E1 87996.24261603373 296.64160634684026 3433.92194092827 12.938839678884838 0.010922290343633168
74 1562 2766 23.0 E2 330468.6978967498 574.8640690604605 3441.144678138942 11.502174176864333 0.009227934128047953
75 540 3253 28.0 E2 553169.8236503854 743.7538730321916 3430.4668380462726 10.942853798537948 0.008721739615760435
76 158 739 17.0 E2 176676.44063745002 420.32896716435096 3434.355378486056 12.182053396794892 0.009924343760486128
77 1640 3198 19.79898987322333 E1 191395.69696969687 437.48793922769676 3444.0252525252527 12.09516957605472 0.009827908222817351
78 2240 322 15.0 E1 284440.7358024691 533.3298564701483 3414.5753086419754 11.665020516450728 0.009384391643414463
79 2204 4060 8.5 E1 68780.64277320795 262.2606390086167 3415.1645123384255 13.206334424747034 0.011376593176855774
80 1192 400 26.870057685088806 E3 589379.8878504671 767.7108100388239 3432.1479750778817 10.874011720522116 0.008661906159686006
81 1780 1664 9.192388155425117 E1 75574.51357466062 274.90819117418204 3420.074660633484 13.104061598550043 0.011194428579821359
82 1977 1567 8.5 E0 74609.16463414635 273.1467822145199 3425.279268292683 13.11801955646655 0.011218633608570278
83 1210 2596 10.0 E1 76509.73144104809 276.6039252090398 3433.1943231441046 13.090708306156484 0.011171458683999031
84 2034 3608 2.0 E5 2640.4215246636777 51.38503210725549 3426.5156950672645 16.74581683886514 0.043429993002827794
85 2238 2970 13.435028842544403 E2 127098.32954545444 356.5085266097495 3423.2945804195806 12.5396503933624 0.010354698711209752
86 1909 2487 8.5 E0 64748.43173862313 254.4571314359712 3424.820303383897 13.27192686524073 0.011499606537017109
87 1999 648 14.849242404917497 E2 183558.1807909604 428.4369040955277 3416.531073446328 12.140565637908178 0.009877954755655989
88 2039 856 8.5 E1 72781.92561983471 269.7812551305867 3414.9244391971665 13.144941145747591 0.011265892993636303
89 2014 2457 10.606601717798213 E2 77848.0426195426 279.01262089651533 3419.466735966736 13.071880756719054 0.0111393771883707
90 2006 4263 13.435028842544401 E2 120248.68785046734 346.7689257278791 3416.3794392523364 12.599799134836692 0.010433441842946232
91 752 1064 15.556349186104045 E0 182415.97536945814 427.1018325522125 3426.231527093596 12.147342825778473 0.009885489264287782
92 10 2502 10.606601717798213 E1 83362.09999999998 288.72495562386007 3421.932258064516 12.99757838365611 0.011016126647460106
93 1137 964 14.142135623730951 E4 91120.2937062936 301.861381608005 3423.8706293706296 12.900962222684083 0.010863366976047137
94 1532 2123 9.0 E1 60036.260416666635 245.02297936452132 3422.1770833333335 13.353965918111651 0.011660867196224915
95 1301 1044 13.435028842544403 E2 113631.43686006819 337.0926235622313 3420.231228668942 12.661253754174577 0.010516134232494475
96 149 1302 9.899494936611665 E1 72165.32356134639 268.63604293047945 3421.1650380021715 13.15417859207306 0.011282285955183744
97 87 2610 9.192388155425117 E1 60143.10582639712 245.24091385084407 3424.190249702735 13.352035371066062 0.011656973135399052
98 1018 183 12.727922061357855 E1 134859.4277673546 367.2321170150489 3431.1181988742965 12.475296718611363 0.010272695782756526
99 1952 840 8.5 E1 65931.55529685685 256.77140669641716 3412.6775320139695 13.252266698291445 0.011462202390036199
100 967 3291 13.0 E0 88827.52385496188 298.0394669418161 3441.334923664122 12.928631110153546 0.010906290059262254
101 413 3805 14.0 E1 116954.98421052643 341.98681876722446 3429.9491228070174 12.629953163388599 0.010473724480164696
102 2367 372 22.627416997969522 E1 358362.30760368647 598.6337006915719 3414.8997695852536 11.414194188795515 0.009145414823201461
103 1614 219 8.48528137423857 E2 56871.21608040198 238.47686697120537 3414.028475711893 13.41276871276322 0.011781879867046539
